[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=20 rtp_ts=72390722 ts_ms=1787910016305
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=20 rtp_ts=72390722 ts_ms=1787910016316 inference_latency_ms=11.139
[INFO] 2026-08-28T09:40:16 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=20 rtp_ts=72390722 ts_ms=1787910016321
[INFO] 2026-08-28T09:40:16 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=21 rtp_ts=72409030 ts_ms=1787910016505
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=21 rtp_ts=72409030 ts_ms=1787910016505
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=21 rtp_ts=72409030 ts_ms=1787910016521 inference_latency_ms=15.785
[INFO] 2026-08-28T09:40:16 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=21 rtp_ts=72409030 ts_ms=1787910016526
[INFO] 2026-08-28T09:40:16 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=22 rtp_ts=72433004 ts_ms=1787910016715
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=22 rtp_ts=72433004 ts_ms=1787910016716
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=22 rtp_ts=72433004 ts_ms=1787910016727 inference_latency_ms=10.759
[INFO] 2026-08-28T09:40:16 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=22 rtp_ts=72433004 ts_ms=1787910016733
[INFO] 2026-08-28T09:40:16 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=23 rtp_ts=72450984 ts_ms=1787910016936
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=23 rtp_ts=72450984 ts_ms=1787910016937
[INFO] 2026-08-28T09:40:16 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=23 rtp_ts=72450984 ts_ms=1787910016949 inference_latency_ms=11.556
[INFO] 2026-08-28T09:40:16 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=23 rtp_ts=72450984 ts_ms=1787910016953
[INFO] 2026-08-28T09:40:17 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=24 rtp_ts=72475286 ts_ms=1787910017154
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=24 rtp_ts=72475286 ts_ms=1787910017155
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=24 rtp_ts=72475286 ts_ms=1787910017165 inference_latency_ms=9.729
[INFO] 2026-08-28T09:40:17 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=24 rtp_ts=72475286 ts_ms=1787910017168
[INFO] 2026-08-28T09:40:17 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=25 rtp_ts=72493266 ts_ms=1787910017392
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=25 rtp_ts=72493266 ts_ms=1787910017392
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=25 rtp_ts=72493266 ts_ms=1787910017407 inference_latency_ms=14.699
[INFO] 2026-08-28T09:40:17 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=25 rtp_ts=72493266 ts_ms=1787910017415
[INFO] 2026-08-28T09:40:17 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=26 rtp_ts=72511246 ts_ms=1787910017617
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=26 rtp_ts=72511246 ts_ms=1787910017618
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=26 rtp_ts=72511246 ts_ms=1787910017634 inference_latency_ms=15.122
[INFO] 2026-08-28T09:40:17 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=26 rtp_ts=72511246 ts_ms=1787910017638
[INFO] 2026-08-28T09:40:17 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=27 rtp_ts=72529554 ts_ms=1787910017829
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=27 rtp_ts=72529554 ts_ms=1787910017830
[INFO] 2026-08-28T09:40:17 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=27 rtp_ts=72529554 ts_ms=1787910017840 inference_latency_ms=10.774
[INFO] 2026-08-28T09:40:17 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=27 rtp_ts=72529554 ts_ms=1787910017846
[INFO] 2026-08-28T09:40:18 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=28 rtp_ts=72553528 ts_ms=1787910018053
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=28 rtp_ts=72553528 ts_ms=1787910018054
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_result stream_id=video-0 frame_id=28 rtp_ts=72553528 ts_ms=1787910018066 inference_latency_ms=12.050
[INFO] 2026-08-28T09:40:18 | ai_engine.video.mf_callback | LATENCY_TRACE stage=ai_push stream_id=video-0 frame_id=28 rtp_ts=72553528 ts_ms=1787910018070
[INFO] 2026-08-28T09:40:18 | ai_engine | LATENCY_TRACE stage=ai_received stream_id=video-0 frame_id=29 rtp_ts=72571508 ts_ms=1787910018312
[INFO] 2026-08-28T09:40:18 | ai_engine.video | LATENCY_TRACE stage=ai_submit stream_id=video-0 frame_id=29 rtp_ts=72571508 ts_ms=1787910018313
